@ Raw Phidget data, non zeroed, avg constant, then zeroed.
X Axis, Y Axis, Z Axis, X Avg, Y Avg, Z Avg, X Zeroed, Y Zeroed, Z Zeroed
-0.26184,0.01007,-0.2315,-0.225902,0.0424094,-0.25949,-0.26184,0.01007,-0.2315,
-0.16113,-0.00504,-0.25164,-0.225902,0.0424094,-0.25949,-0.16113,-0.00504,-0.25164,
-0.16919,0.13696,-0.25499,-0.225902,0.0424094,-0.25949,-0.16919,0.13696,-0.25499,
-0.31723,0.04028,-0.31203,-0.225902,0.0424094,-0.25949,-0.31723,0.04028,-0.31203,
-0.2417,-0.16617,-0.31538,-0.225902,0.0424094,-0.25949,-0.2417,-0.16617,-0.31538,
-0.17322,0.06445,-0.35967,-0.225902,0.0424094,-0.25949,-0.17322,0.06445,-0.35967,
-0.35248,0.10574,-0.26841,-0.225902,0.0424094,-0.25949,-0.35248,0.10574,-0.26841,
-0.31219,0.05539,-0.60393,-0.225902,0.0424094,-0.25949,-0.31219,0.05539,-0.60393,
-0.51361,-0.03525,-0.39591,-0.225902,0.0424094,-0.25949,-0.51361,-0.03525,-0.39591,
-0.3273,0.23666,-0.22815,-0.225902,0.0424094,-0.25949,-0.3273,0.23666,-0.22815,
-0.46829,0.12085,-0.14763,-0.225902,0.0424094,-0.25949,-0.46829,0.12085,-0.14763,
-0.46729,-0.08862,-0.28452,-0.225902,0.0424094,-0.25949,-0.46729,-0.08862,-0.28452,
-0.35248,0.20142,-0.43617,-0.225902,0.0424094,-0.25949,-0.35248,0.20142,-0.43617,
-0.30716,0.19638,-0.39255,-0.225902,0.0424094,-0.25949,-0.30716,0.19638,-0.39255,
-0.30212,-0.08057,-0.4563,-0.225902,0.0424094,-0.25949,-0.30212,-0.08057,-0.4563,
-0.25177,0.05035,-0.35565,-0.225902,0.0424094,-0.25949,-0.25177,0.05035,-0.35565,
-0.50858,0.04028,-0.29525,-0.225902,0.0424094,-0.25949,-0.50858,0.04028,-0.29525,
-0.41794,0.02518,-0.13085,-0.225902,0.0424094,-0.25949,-0.41794,0.02518,-0.13085,
-0.26184,-0.09064,-0.28519,-0.225902,0.0424094,-0.25949,-0.26184,-0.09064,-0.28519,
-0.14099,0.02014,-0.35229,-0.225902,0.0424094,-0.25949,-0.14099,0.02014,-0.35229,
-0.26688,-0.02518,-0.26506,-0.225902,0.0424094,-0.25949,-0.26688,-0.02518,-0.26506,
-0.31421,-0.22156,-0.27378,-0.225902,0.0424094,-0.25949,-0.31421,-0.22156,-0.27378,
-0.36255,0.1561,-0.13756,-0.225902,0.0424094,-0.25949,-0.36255,0.1561,-0.13756,
2.68387,0.44815,-2.66063,-0.225902,0.0424094,-0.25949,2.68387,0.44815,-2.66063,
4.59732,3.0011,-4.39524,-0.225902,0.0424094,-0.25949,4.59732,3.0011,-4.39524,
7.34161,0.18127,-5.48231,-0.225902,0.0424094,-0.25949,7.34161,0.18127,-5.48231,
-6.37482,5.58426,-0.66432,-0.225902,0.0424094,-0.25949,-6.37482,5.58426,-0.66432,
-12.5734,-17.211,2.53984,-0.225902,0.0424094,-0.25949,-12.5734,-17.211,2.53984,
-1.81274,-17.3671,-1.64067,-0.225902,0.0424094,-0.25949,-1.81274,-17.3671,-1.64067,
1.79764,5.67993,-1.18101,-0.225902,0.0424094,-0.25949,1.79764,5.67993,-1.18101,
3.46033,8.22986,-0.70592,-0.225902,0.0424094,-0.25949,3.46033,8.22986,-0.70592,
2.07458,2.76443,-0.63412,-0.225902,0.0424094,-0.25949,2.07458,2.76443,-0.63412,
-0.68985,-0.58914,-0.04697,-0.225902,0.0424094,-0.25949,-0.68985,-0.58914,-0.04697,
-0.82581,0.05539,0.15769,-0.225902,0.0424094,-0.25949,-0.82581,0.05539,0.15769,
-0.59418,-1.61636,-0.40933,-0.225902,0.0424094,-0.25949,-0.59418,-1.61636,-0.40933,
-0.42801,-0.76538,-0.36907,-0.225902,0.0424094,-0.25949,-0.42801,-0.76538,-0.36907,
-0.14905,0.86609,-0.44556,-0.225902,0.0424094,-0.25949,-0.14905,0.86609,-0.44556,
-0.25681,-0.51865,-0.07717,-0.225902,0.0424094,-0.25949,-0.25681,-0.51865,-0.07717,
-0.52872,-0.34241,-0.1275,-0.225902,0.0424094,-0.25949,-0.52872,-0.34241,-0.1275,
-0.37262,0.13596,-0.11072,-0.225902,0.0424094,-0.25949,-0.37262,0.13596,-0.11072,
-0.03525,0.06042,-0.19795,-0.225902,0.0424094,-0.25949,-0.03525,0.06042,-0.19795,
-0.17624,0.45319,-0.54018,-0.225902,0.0424094,-0.25949,-0.17624,0.45319,-0.54018,
-0.54382,0.08057,-0.34625,-0.225902,0.0424094,-0.25949,-0.54382,0.08057,-0.34625,
-0.43304,-0.50858,-0.25835,-0.225902,0.0424094,-0.25949,-0.43304,-0.50858,-0.25835,
-0.26688,-0.71503,-0.1275,-0.225902,0.0424094,-0.25949,-0.26688,-0.71503,-0.1275,
0.02014,0.73517,-0.37913,-0.225902,0.0424094,-0.25949,0.02014,0.73517,-0.37913,
-0.35751,0.14099,-0.18118,-0.225902,0.0424094,-0.25949,-0.35751,0.14099,-0.18118,
-0.38773,-0.27191,-0.28519,-0.225902,0.0424094,-0.25949,-0.38773,-0.27191,-0.28519,
-0.4834,-0.31219,-0.10736,-0.225902,0.0424094,-0.25949,-0.4834,-0.31219,-0.10736,
-0.40787,0.13092,-0.28519,-0.225902,0.0424094,-0.25949,-0.40787,0.13092,-0.28519,
-0.32227,0.28702,-0.38584,-0.225902,0.0424094,-0.25949,-0.32227,0.28702,-0.38584,
-0.32629,-0.03625,-0.38383,-0.225902,0.0424094,-0.25949,-0.32629,-0.03625,-0.38383,
-0.36255,0.14099,-0.25835,-0.225902,0.0424094,-0.25949,-0.36255,0.14099,-0.25835,
-0.29709,0.0705,-0.30867,-0.225902,0.0424094,-0.25949,-0.29709,0.0705,-0.30867,
-0.36255,0.36758,-0.40933,-0.225902,0.0424094,-0.25949,-0.36255,0.36758,-0.40933,
-0.17624,-0.09567,-0.26841,-0.225902,0.0424094,-0.25949,-0.17624,-0.09567,-0.26841,
-0.28702,0.36255,-0.53347,-0.225902,0.0424094,-0.25949,-0.28702,0.36255,-0.53347,
